Spec,sdf,pkgNameFlg,UploadPath,OldPath,OldPackage32,OldPackage64,PackageName,PackageName64
TaurusC2,10.60.108.81/DB14/GranitePCL_14A/14A_TaurusC2/TaurusC2_Ver1.0.0.0_2014.10.28,TaurusC2,\\zrfg016550.rfg.rfgad.ricoh.com\prndrv$\0\pub\MTI\Release\TaurusC2\Test\,\\zrfg016550.rfg.rfgad.ricoh.com\prndrv$\0\pub\MTI\Release\TaurusC2\EXP\V1000\,TaurusC2_EXP_5CW32_V1000_20141031.exe,TaurusC2_EXP_5CW64_V1000_20141031.exe,TaurusC2_EXP_5CW32_V1000_20141031.exe,TaurusC2_EXP_5CW64_V1000_20141031.exe
TaurusC2_SC,,TaurusC2,\\zrfg016550.rfg.rfgad.ricoh.com\prndrv$\0\pub\MTI\Release\TaurusC2\Test\SC\,\\zrfg016550.rfg.rfgad.ricoh.com\prndrv$\0\pub\MTI\Release\TaurusC2\EXP\V1000_SCTCK\,TaurusC2_EXP_5CW32_V1000_SCTCK_20141031.exe,TaurusC2_EXP_5CW64_V1000_SCTCK_20141031.exe,TaurusC2_EXP_5CW32_V1000_SCTCK_20141031.exe,TaurusC2_EXP_5CW64_V1000_SCTCK_20141031.exe
